state,electric_vehicles
Alaska,16
Alabama,71
Arkansas,16
Arizona,392
California,2731
Colorado,44
Connecticut,19
Delaware,0
District of Columbia,70
Florida,302
Georgia,365
Hawaii,175
Iowa,12
Idaho,12
Illinois,36
Indiana,33
Kansas,48
Kentucky,48
Louisiana,143
Massachusetts,77
Maryland,92
Maine,20
Michigan,124
Minnesota,22
Missouri,75
Mississippi,73
Montana,7
North Carolina,182
North Dakota,0
Nebraska,0
New Hampshire,13
New Jersey,6
New Mexico,9
Nevada,38
New York,492
Ohio,64
Oklahoma,23
Oregon,93
Pennsylvania,36
Rhode Island,26
South Carolina,80
South Dakota,3
Tennessee,89
Texas,211
Utah,10
Virginia,261
Vermont,2
Washington,224
Wisconsin,9
West Virginia,24
Wyoming,1
