name,street_address,city,state_abbr,zip,phone_no,status,expected_date,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,open_date,ev_connector_types
Latitudes,2401 Highway 528,Rio Rancho,NM,87124,505-369-7777,E,,Public,,35.21843,-106.663,50083,P,,,8/1/12,J1772
American Bush - Solar Canopy,2630 S 300 W,Salt Lake City,UT,84115,801-518-3529,E,,Public,,40.7144199,-111.900105,42013,P,,,12/1/11,J1772
Grinders Stonewall - Tesla,10240 Pflumm Rd,Lenexa,KS,66215,913-888-2000  877-798-3752,E,,Public,Tesla,38.9427327,-94.7425178,75230,P,,,1/1/16,TESLA
CITY OF SEATTLE,600 Pine St,Seattle,WA,98101,888-758-4389,E,,Public,ChargePoint Network,47.6128769,-122.3352681,43306,,,,,J1772
Sheraton Suites Alexandria,801 N St Asaph St,Alexandria,VA,22314,703-836-4700,E,,Public,Tesla,38.8131027,-77.0435092,73711,P,,,2/1/16,J1772 TESLA
Two Embarcadero Center,"Two Embarcadero Center, A Level Parking",San Francisco,CA,94111,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,37.7950272,-122.3985003,53540,,,,,J1772
Holiday Inn Express and Suites - Tesla,1150 W Cataract Lake Rd,Williams,AZ,86046,928-635-2221  877-798-3752,E,,Public,Tesla,35.250705,-112.1959689,75212,P,,,3/1/16,TESLA
General Electric - Dallas Office,2508 Highlander Way,Carrollton,TX,75006,,E,,Private,,32.9838,-96.845317,46370,P,,,8/13/11,J1772
Municipal Lot,38767 SE River St,Snoqualmie,WA,98065,888-998-2546,E,,Public,Blink Network,47.527427,-121.823532,48607,,,,,J1772
GATEWAY TECH B,380 McCanna Pkwy,Burlington,WI,53105,888-758-4389,E,,Public,ChargePoint Network,42.6727905,-88.2556,38977,,,,,NEMA520 J1772
NATIONAL GRID,104-160 Blackstone St,Providence,RI,2905,888-758-4389,E,,Public,ChargePoint Network,41.8096008,-71.4088529,53052,,,,,J1772
Amazon - Obidos/Rufus,550 Terry Ave N,Seattle,WA,98109,888-998-2546,E,,Public,Blink Network,47.62395,-122.337078,61020,,,,,J1772
Classic Cars Nissan,1513 Route 38,Hainesport,NJ,8036,609-267-2886,E,,Private,,39.98225,-74.808612,45677,P,,,1/31/12,J1772
MERCER ISLAND,8236 SE 24TH STREET,Mercer Island,WA,98040,888-758-4389,E,,Public,ChargePoint Network,47.5900154,-122.2285461,43302,,,,,NEMA520 J1772
NATIONAL GRID,997 Loudon Rd,Cohoes,NY,12047,888-758-4389,E,,Public,ChargePoint Network,42.770945,-73.753012,52806,,,,,J1772
AUTO CLUB GROUP,783 S Orlando Ave,Winter Park,FL,32789,888-758-4389,E,,Public,ChargePoint Network,28.5909042,-81.3660965,42140,,,,,NEMA520 J1772
Greeley Nissan,2625 35th Ave,Greeley,CO,80634,970-353-5333  855-900-7584,E,,Public - Call ahead,Greenlots,40.3944828,-104.736046,46537,P,,,1/31/12,J1772 CHADEMO
St. Charles Towne Center,11110 Mall Circle,Waldorf,MD,20603,877-455-3833,E,,Public - Card key at all times,eVgo Network,38.61743546,-76.92423248,74206,,,,,J1772COMBO
Spectrum Center #2,13786  Jamboree Rd,Irvine,CA,92602,888-998-2546,E,,Public,GE WattStation,33.65260507,-117.742508,72710,,,,,J1772
Outpost Solar - Mines Road,1905 Mines Road,Pulaski,TN,38478,888-998-2546,E,,Private,Blink Network,35.210144,-87.054365,45118,,,,,J1772
Lakewood Center Mall,500 Lakewood Center Mall,Lakewood,CA,90712,877-455-3833,E,,Public - Card key at all times,eVgo Network,33.85131454,-118.1396637,72563,,,,,J1772COMBO
CITYZEPHYRHILLS,5335 Eighth St,Zephyrhills,FL,33542,888-758-4389,E,,Public,ChargePoint Network,28.2352886,-82.1812439,43149,,,,,NEMA520 J1772
Atlantic Nissan,205 Sunrise Hwy,West Islip,NY,11795,631-587-0700,E,,Private,,40.720647,-73.304128,44211,P,,,11/30/11,J1772
